//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3
12.026900 -1.665600 2255.298096 1492.0000 823.0000 936.0000
11.979100 -1.755200 2255.365234 1492.0000 824.0000 1221.0000
12.026900 -1.688900 2255.298096 1493.0000 822.0000 1011.0000
11.987100 -1.759200 2255.351807 1493.0000 823.0000 1171.0000
11.966900 -1.783200 2255.371826 1493.0000 824.0000 1258.0000
11.979600 -1.729200 2255.335938 1493.0000 825.0000 1086.0000
12.012800 -1.721700 2255.308350 1494.0000 822.0000 1116.0000
11.970300 -1.798100 2255.365967 1494.0000 823.0000 1107.0000
11.956400 -1.807200 2255.375488 1494.0000 824.0000 1193.0000
11.953700 -1.789600 2255.365723 1494.0000 825.0000 1253.0000
11.983100 -1.791300 2255.344482 1495.0000 822.0000 1190.0000
11.970200 -1.797400 2255.352051 1495.0000 823.0000 1251.0000
11.963500 -1.789400 2255.349121 1495.0000 824.0000 1162.0000
11.949800 -1.797800 2255.358154 1495.0000 825.0000 1347.0000
11.964600 -1.740000 2255.319580 1495.0000 826.0000 1336.0000
12.026300 -1.712400 2255.271729 1496.0000 821.0000 1322.0000
11.987000 -1.781200 2255.323975 1496.0000 822.0000 1203.0000
11.978600 -1.776500 2255.323486 1496.0000 823.0000 1139.0000
11.976400 -1.757700 2255.312988 1496.0000 824.0000 1088.0000
11.950100 -1.796200 2255.343506 1496.0000 825.0000 1349.0000
11.940300 -1.796600 2255.346436 1496.0000 826.0000 1360.0000
12.004600 -1.738200 2255.279541 1497.0000 822.0000 1156.0000
11.984400 -1.761800 2255.299561 1497.0000 823.0000 1169.0000
11.971800 -1.767700 2255.306641 1497.0000 824.0000 1166.0000
11.954000 -1.786000 2255.322510 1497.0000 825.0000 1329.0000
11.943900 -1.787200 2255.326416 1497.0000 826.0000 1384.0000
11.998600 -1.751500 2255.275635 1498.0000 822.0000 1070.0000
11.981800 -1.767000 2255.289795 1498.0000 823.0000 1202.0000
11.977600 -1.753000 2255.282715 1498.0000 824.0000 1264.0000
11.953600 -1.786100 2255.309082 1498.0000 825.0000 1184.0000
11.944700 -1.784300 2255.310547 1498.0000 826.0000 1361.0000
11.957900 -1.729200 2255.274170 1498.0000 827.0000 1146.0000
11.969900 -1.819000 2255.310303 1499.0000 822.0000 1231.0000
11.994600 -1.735600 2255.253906 1499.0000 823.0000 1191.0000
